,text,kalimat_clean,kalimat_en,sentiment,sentiment_label
10,"-cak info kos deket its / upn kamar mandi dalem max 1jt, drop foto+harga

cari di mamikos ga nemu yang srek2 be e k… https://t.co/dff5mx7v5i",info kos deket its upn kamar mandi dalem max drop cari mamikos ga nemu be ,info about the boarding house near its upn the bathroom in max drop looking for mamikos can't find it,0.1,positif
11,mamikos membikin orangtua suudzon 😢 https://t.co/u4jztijybz,mamikos membikin orangtua suudzon ,mamikos make suudzon parents,0.0,netral
12,"info kos-kosan cowok atau campur jogja budget maks 2mio udah all-in. yang paling penting internetnya gak indihome,… https://t.co/d4tmrorupm",info cowok campur jogja budget maks udah internetnya gak indihome ,"info for boys mixed with jogja budget max, the internet is not indihome",0.0,netral
13,@karawangfess cek aja di mamikos, cek aja mamikos,check it out mamikos,0.0,netral
14,@ythsangyeon jangan ngeledek kakak jeje yaa kakak aya!!! aku gigit kamu!!🤬🤬sombong amat besok-besok pasti udah kaya… https://t.co/kbku7di6lp,ythsangyeon ngeledek kakak jeje yaa kakak aya gigit udah ,thanks,0.2,positif
15,-dips! yg pny kontaknya ibu kos cowo wisma jalan timoho tlg rep dongg ntr ak dm. nomer yg di mamikos gadibales soalnya. makasii,yg pny kontaknya kos cowo wisma jalan timoho tlg rep dongg ntr ak dm nomer yg mamikos gadibales makasii,"the one who has the contact is a male housekeeper, Jalan Timoho, please rep, please send me a DM for the number that is Mamikos, Gadibales, thank you",0.0,netral
16,"@ubsansfess banyak deh kayanya, tapi kamar mandi luar 
coba cari di mamikos aja nder", deh kayanya kamar mandi coba cari mamikos aja nder,"It's like the bathroom, just try to find mamikos, nder",0.0,netral
17,@collegemenfess cek mamikos aja nder, cek mamikos aja nder,check mamikos nder,0.0,netral
18,@senjasungjin akuu udh nemu di mamikos bru mau liat nnti hari minggu,senjasungjin akuu udh nemu mamikos bru liat nnti minggu,"twilight, I've found mamikos, I'll see you next week",0.0,netral
19,@dipposauruss cek mamikos coba ca,dipposauruss cek mamikos coba ca,dipposauruss check mamikos try ca,0.0,netral
20,"sdf! info kos putri daerah waru budget 1jtan plis, yg ada parkiran mobil dan kamar mandi dalem. cari di mamikos udah pada banyak full:(",sdf info kos putri daerah waru budget plis yg parkiran mobil kamar mandi dalem cari mamikos udah full,"sdf info boarding house for daughters in waru area budget pls the one parking the car, the bathroom inside looking for mamikos is full",0.35,positif
21,"@justhiewra @malfaiteurr bismillah, bu ginaa butuh info kos ada di mamikos.",justhiewra malfaiteurr bismillah bu ginaa butuh info kos mamikos,justhiewra malfaiteurr bismillah bu ginaa butuh info kos mamikos,0.0,netral
22,"info kost putri dong, nyari di mamikos susah :( deket ub kalo ada gaiss",info kost putri nyari mamikos susah deket ub kalo gaiss,info kost putri nyari mamikos susah deket ub kalo gaiss,0.0,netral
23,@mas_kumiss cek mamikos aja bang,cek mamikos aja bang,check mamikos don't bang,0.0,netral
24,"rt @pilotplant_: @sbmptnfess percaya kok sama mamikos, dia mah nyediain kosan bukan ngurus utbk :(",  percaya mamikos mah nyediain kosan ngurus utbk,I believe mamikos will provide boarding house to take care of utbk,0.0,netral
25,"@sbmptnfess lu juga nape liat info sbm di mamikos :"")", lu nape liat info sbm mamikos,lu nape liat info sbm mamikos,0.0,netral
26,@fathiathau @sbmptnfess mamikos cenayang utbk,fathiathau  mamikos cenayang utbk,fathiathau mamikos cenayang utbk,0.0,netral
27,"@sbmptnfess pleaseeee, mamikos tu buat cari kos. gaada utbk keluar soal berapa harga kos deket ugm. tunggu info resmi dari eltiempiti😡", pleaseeee mamikos tu cari kos gaada utbk harga kos deket ugm tunggu info resmi,"pleaseeee mamikos is looking for a boarding house, there is no cost for boarding near ugm waiting for official info",0.1,positif
28,"@bertanyarl soalnya pengalaman cari kos di mamikos, beberapa nampaknya bagus tapi nyatanya engga",beanyarl pengalaman cari kos mamikos nampaknya bagus engga,beanyarl experience looking for mamikos cost seems good engga,0.7,positif
29,@terimacakihh @jogmfs mamikos tu di app atau web deh?,terimacakihh  mamikos tu app web deh,terimacakihh mamikos tu app web deh,0.0,netral
30,"@jogmfs coba cek lewat mamikos biar tahu daerahnya, terus kamu cek manual biar dapat lebih murah. bisa juga cek lew… https://t.co/r0jpgi2io3", coba cek mamikos biar daerahnya cek manual biar murah cek ,try checking mamikos so that the area can be checked manually so it's cheap to check,0.4,positif
31,"rt @pilotplant_: @sbmptnfess percaya kok sama mamikos, dia mah nyediain kosan bukan ngurus utbk :(",  percaya mamikos mah nyediain kosan ngurus utbk,I believe mamikos will provide boarding house to take care of utbk,0.0,netral
32,"jog oktober nanti aku ke jogja, rencana sih offline kuliahnya. tpi ttp aja suruh mau offline ga offline hrus kesana… https://t.co/1hjdkzogee",jog oktober jogja rencana sih offline kuliahnya tpi ttp aja suruh offline ga offline hrus ,"jog, october, jogja, the plan is for offline lectures, but still, tell them to be offline, not offline, they have to",0.0,netral
33,"halo adik adik yang tahun depan utbk,
bukan menggurui tapi ya sayangku masa percaya info dari mamikos😩
kalaupun ini… https://t.co/cmmz5rps3u",adik adik tahun utbk menggurui sayangku percaya info ,Brothers and Sisters to teach my dear believe the info,0.0,netral
34,"rt @pilotplant_: @sbmptnfess percaya kok sama mamikos, dia mah nyediain kosan bukan ngurus utbk :(",  percaya mamikos mah nyediain kosan ngurus utbk,I believe mamikos will provide boarding house to take care of utbk,0.0,netral
35,"@sbmptnfess hehhh tu website mamikos y, jgn prcaya dl klo bukan ltmpt yg ngumuminnya✋🏻😩", hehhh tu website mamikos jgn prcaya dl klo ltmpt yg,"hehe, that's the mamikos website, don't believe it if it's ltmpt",0.0,netral
36,@baumulutt gws yg percaya berita utbk bukan dr ltmpt tp mamikos,baumulutt gws yg percaya berita utbk dr ltmpt tp mamikos,baumulutt me who believe the news for ltmpt but mamikos,0.0,netral
37,@undipmenfess bukannya di mamikos bisa minta nomor pemiliknya ya?, mamikos nomor pemiliknya,mamikos owner number,0.0,netral
38,@sbmptnfess mamikos emang sesat, mamikos emang sesat,mamikos are perverted,0.0,netral
39,@stanmenfess ada si. tergantung jakarta mana. fasilitasnya juga seadanya. cek di mamikos aja., si tergantung jakaa fasilitasnya seadanya cek mamikos aja,"it depends on jakaa, the facilities are minimal, just check mamikos",-0.1,negatif
40,"-dips! ada yg kos di sini dan punya kontak pemilik kosnya? kalo ada reply ya nanti aku dm, soalnya di mamikos berha… https://t.co/olvzydjrpc",yg kos kontak pemilik kosnya kalo reply dm mamikos ,the one who costs contact the owner of the boarding house if you reply dm mamikos,0.0,netral
41,"@sbmptnfess percaya kok sama mamikos, dia mah nyediain kosan bukan ngurus utbk :(", percaya mamikos mah nyediain kosan ngurus utbk,I believe mamikos will provide boarding house to take care of utbk,0.0,netral
42,"jog oktober nanti aku ke jogja untuk kuliah offline. tpi tekan saiki sek binggung luru kos, tanya kating angel kabe… https://t.co/whnvxv9pb0",jog oktober jogja kuliah offline tpi tekan saiki sek binggung luru kos kating angel ,jog oktober jogja kuliah offline tpi tekan saiki sek binggung luru kos kating angel,0.0,netral
43,"@annogerson kalo biaya hidup sih relatif ya mas, soalnya saya termasuk yg biasa aja. kalo dari harga 1,2 yg saya da… https://t.co/a1hkq5gchx",annogerson kalo biaya hidup sih relatif mas yg aja kalo harga yg ,"Annogerson, the cost of living is relative, only if the price is high",0.05333333333333334,positif
44,scrolling mamikos lebih asik daripada scrolling ig,scrolling mamikos asik scrolling ig,scrolling mamikos asik scrolling ig,0.0,netral
45,mau liat2 kos harian buat temen niatnya buka mamikos malah buka tokped anjir,kos harian temen niatnya buka mamikos buka tokped anjir,daily cost friend intention open mamikos open tokped fig,0.0,netral
46,"@tegalfess coba cek"" di mamikos nder siapa tau ada", coba cek mamikos nder tau,try to check mamikos nder know,0.0,netral
47,"@tegalfess coba cek di mamikos, atur filter ""kost harian""", coba cek mamikos atur filter kost harian,"try checking mamikos, set the daily boarding filter",0.0,netral
48,"@adambahduqun cek mamikos, gw dapet kost sekarang dr mamikos",adambahduqun cek mamikos gw dapet kost dr mamikos,adambahduqun check mamikos I got a boarding house from mamikos,0.0,netral
49,@winchivaaree1 coba cari lewat aplikasi lewat mamikos deh bun,coba cari aplikasi mamikos deh bun,try searching for mamikos deh bun application,0.0,netral
50,@jeongnindy mamikos tuh aplikasi?,jeongnindy mamikos tuh aplikasi,jeongnindy mamikos did the application,0.0,netral
51,"@bandeel iyaa di mamikos :"")",bandeel iyaa mamikos,bandeel iyaa mamikos,0.0,netral
52,"masang iklan di mamikos, repotttnyaaa minta ampunnn aslii 🤣",masang iklan mamikos repotttnyaaa ampunnn aslii,post mamikos ads repotttnyaaa ampunnn aslii,0.0,netral
53,"ada kosan deket rs bethesda ga ya
bingung nyari di mamikos ga ada yang deket",kosan deket rs bethesda ga bingung nyari mamikos ga deket,boarding house near rs bethesda not confused looking for mamikos not close,0.15000000000000002,positif
54,"@undipmenfess baru liat-liat lewat mamikos sih, nunggu ada temennya baru dibolehin", mamikos sih nunggu temennya dibolehin,mamikos is waiting for his friend to be allowed,0.0,netral
55,"gw sampe udh gk punya webtoon, flo, mamikos, tokped
masih kuranggg space",gw sampe udh gk webtoon flo mamikos tokped kuranggg space,"I haven't had the webtoon flo mamikos tokped yet, there's no space",0.0,netral
56,@ipb_menfess enakan dateng langsung nder tapi bisa aja sih liat di mamikos,enakan dateng nder aja sih liat mamikos,it's better to come and see mamikos,0.5,positif
57,"kalo mau nyari kost online gt nyarinya mending dimana ya? di mamikos mahal2:"" -upnjog",kalo nyari kost online gt nyarinya mending dimana mamikos,"If you're looking for a boarding house online, it's better to find a boarding house where mamikos is",0.5,positif
58,kosan yg harganya masih murah dan bagus di mamikos tuh rata2 di jakbar / cempaka putih. tp ya percuma ke kantor w k… https://t.co/vddxcjifv7,kosan yg harganya murah bagus mamikos tuh jakbar cempaka putih tp kantor ,The boarding house that is cheap is good,0.55,positif
59,hidup gue tiap hari nyari kosan di mamikos,hidup gue nyari kosan mamikos,my life is looking for boarding house mamikos,0.0,netral
60,"@ubsansfess cari di mamikos coba, daerah yg deket fakultasmu nder, tp sepengalamanku kosan km dalem gaada yg under 700 hehe", cari mamikos coba daerah yg deket fakultasmu nder tp sepengalamanku kosan km dalem gaada yg under hehe,"look for mamikos, try an area that is near your faculty, but in my experience the boarding house is not under, hehe",0.1,positif
61,@jogmfs coba aja cek di mamikos nder. di sana bisa milih dan sesuaikan sama budget, coba aja cek mamikos nder milih sesuaikan budget,Just try to check mamikos and choose according to your budget,0.0,netral
62,"@utbkfess mamikos gaperna valid. selalu ambil rumornya buat clickbait aja. pengalaman 2 tahun, mending percayaain a… https://t.co/veb8il6hpf", mamikos gaperna valid ambil rumornya clickbait aja pengalaman tahun mending percayaain ,"mamikos is not valid, just take the rumors, just clickbait, experience is better, believe it",0.5,positif
63,"haloo ges, rekomendasi kosan hari ini adalah  kos wisma jatinegara jakarta timur 645238wj

kosannya sudah isian den… https://t.co/efnrvr8yy4",haloo ges rekomendasi kosan kos wisma jatinegara jakaa timur kosannya isian ,"hello guys, the boarding house recommendation for Wisma Jatinegara, East Jakarta, the boarding house is filled in",0.4,positif
64,"@hehupil coba mamikos aja pil, mau ke jakarta ya??",hehupil coba mamikos aja pil jakaa,hehupil coba mamikos drive pil share,0.0,netral
65,"ges, #jangankendor untuk selalu menerapkan protokol kesehatan di manapun kamu berada yaa. buatmu yang sedang cari k… https://t.co/qeryqwovyh",ges jangankendor menerapkan protokol kesehatan manapun yaa buatmu cari ,ges don't slack apply any health protocol for you to look for,0.0,netral
66,"@undipmenfess coba deh cek di mamikos, susah nyari kos harian yg deket bisa jalan. mungkin area banjarsari ada tapi… https://t.co/obrb1uwuoo", coba deh cek mamikos susah nyari kos harian yg deket jalan area banjarsari ,"try checking mamikos, it's hard to find a daily boarding house near the Banjarsari area",-0.0638888888888889,negatif
67,"@cewenyakarina udah, tapi belum ada yg cocok, siapa tau ada kosan yg ga kedaftar di mamikos gt",cewenyakarina udah yg cocok tau kosan yg ga kedaftar mamikos gt,"cewenyakarina is already suitable, I know the boarding school is not registered mamikos gt",0.55,positif
68,@ppaeongg udah coba cek di mamikos kah oli? aku waktu itu nyari kos2an lewat website itu,ppaeongg udah coba cek mamikos kah oli waktu nyari website,ppaeongg have you tried checking mamikos for oil when looking for the website,0.0,netral
69,@karirfess aplikasi sampingan ada dan aplikasi mamikos suka ada,karirfess aplikasi sampingan aplikasi mamikos suka,karirfess application side application mamikos like,0.0,netral
70,"@utbkfess jgn percaya mamikos, musryik wakwkak. udh tunggu aja info dari ltmpt", jgn percaya mamikos musryik wakwkak udh tunggu aja info ltmpt,"Don't believe mushrik mamikos, wow, just wait for the info ltmpt",0.1,positif
71,"@unnesmenfess https://t.co/b8tzkaweri
linkedin
researchgate (ini khusus asdos, peneliti, gitu2)
jobstreet
beberapa… https://t.co/cbpm8hayw4",unnesmenfess  linkedin researchgate asdos peneliti jobstreet ,unnesmenfess linkedin researchgate asdos researchers jobstreet,0.0,netral
72,"ngechat kos-kosan di mamikos panjang lebar cuman dijawab ""ini kos putra."" cuman krn nama vella... trs kalo ibunya m… https://t.co/dyabkqmbug",ngechat mamikos lebar cuman kos putra cuman krn nama vella trs kalo ibunya ,"Chatting with mamikos is wide, only for the son's fee, only because the name is Vella, then if it's the mother",-0.03333333333333333,negatif
73,"rt @mamikosapp: ingin mempromosikan kos anda atau mendapatkan tips &amp; trik seputar bisnis kos yang bermanfaat? yuk, gabung jadi mitra mamiko…", mamikosapp mempromosikan kos tips amp trik seputar bisnis kos bermanfaat yuk gabung mitra,"mamikosapp promotes boarding tips & tricks about the useful boarding business, let's join partners",0.3,positif
74,"rt @mamikosapp: siap sedia kapanpun buatmu, lebih dari pacar! customer service mamikos kini hadir selama 24 jam. jadi buatmu yang mau nanya…", mamikosapp sedia buatmu pacar customer service mamikos hadir jam buatmu,"mamikosapp is ready for you, mamikos customer service girlfriend is here for you",0.2,positif
75,"rt @mamikosapp: lagi cari kos nyaman dan aman yang bisa disewa mingguan? kamu bisa banget, lhoo sewa kos higienis mingguan di mamikos. sela…", mamikosapp cari kos nyaman aman disewa mingguan banget lhoo sewa kos higienis mingguan mamikos,"mamikosapp is looking for a safe, comfortable boarding house to rent weekly, you know, mamikos weekly hygienic boarding house rent",0.45,positif
76,"rt @mamikosapp: haloo ges, rekomendasi kosan hari ini adalah  kos liza regentown gold pagedangan tangerang 936lr

kosannya sudah isian deng…", mamikosapp haloo ges rekomendasi kosan kos liza regentown gold pagedangan tangerang kosannya isian,mamikosapp hello ges recommendation boarding house liza regentown gold pagedangan tangerang boarding house stuffed,0.0,netral
77,"kos andalan yang satu ini lagi turun harga, ges!

kost ibu regina menteng jakarta pusat
ini adalah kos campur yang… https://t.co/umr26qdknc",kos andalan turun harga ges kost regina menteng jakaa pusat kos campur ,mainstay cost down price ges kost regina menteng jakaa mixed cost center,-0.0851851851851852,negatif
78,"haloo ges, rekomendasi kosan hari ini adalah  kos liza regentown gold pagedangan tangerang 936lr

kosannya sudah is… https://t.co/2f9toa0n9m",haloo ges rekomendasi kosan kos liza regentown gold pagedangan tangerang kosannya ,"hello ges, recommendation for liza regentown gold boarding house, pagedangan tangerang, her boarding house",0.0,netral
79,"@goddesofkebab bisa kok. di deket kokas, pancoran, kuningan, setiabudi, sampe pasar minggu.

kalo di selatan deket… https://t.co/kcvnqtkolp",goddesofkebab deket kokas pancoran kuningan setiabudi sampe pasar minggu kalo selatan ,goddesofkebab near the Coke Pancoran Kuningan Setiabudi until the Sunday market in the south,0.1,positif
80,"lagi cari kos nyaman dan aman yang bisa disewa mingguan? kamu bisa banget, lhoo sewa kos higienis mingguan di mamik… https://t.co/ukpy3tl4e9",cari kos nyaman aman disewa mingguan banget lhoo sewa kos higienis mingguan ,"looking for a safe, comfortable boarding house to rent weekly, you know, weekly hygienic boarding house rent",0.45,positif
81,nyewa apart di travelio berat di depositnya anjir. klo lewat mamikos rata2 belom ama service charge &amp; air. ujung2ny… https://t.co/hc7jlamodh,nyewa apa travelio berat depositnya anjir klo mamikos belom ama service charge amp air ,"Do you rent a travelio, the deposit is heavy, if mamikos doesn't have a service charge & water",-0.2,negatif
82,@fessponti mamikos aja coba liat disitu,fessponti mamikos aja coba liat disitu,"Fessponti mamikos, just take a look there",0.0,netral
83,"@fessponti coba lewat mamikos aja, banyak pilihannya.",fessponti coba mamikos aja pilihannya,"Fessponti, try mamikos, just the choice",0.0,netral
84,@kakputt_ @unsfess_ ada di mamikos ndak?,mamikos ndak,mamikos ndak,0.0,netral
85,@unsfess_ golek o lewat mamikos atau olx kan enek nder,golek mamikos olx enek nder,golek mamikos olx enek nder,0.0,netral
86,"@amehnya @infomalang download aplikasi mamikos aja mbak e, nyari disitu banyak pilihannya",amehnya infomalang download aplikasi mamikos aja mbak nyari disitu pilihannya,"amehnya infomalang download the mamikos application, sis, look for the choice there",0.0,netral
87,@areajulid halo mamikos dah buka cabang di mars belom yaaa,areajulid mamikos dah buka cabang mars belom yaaa,areajulid mamikos has opened the mars branch yet yaaa,0.0,netral
88,"download mamikos, rencananya pgn pindah kostan, diliat2 sekitaran daerah jaksel/jakpus (yg deket kantor) 1.5jt aja… https://t.co/goldjjyir7",download mamikos rencananya pgn pindah kostan sekitaran daerah yg deket kantor ,"download mamikos, the plan is to move to a boarding house around the area near the office",0.1,positif
89,"@worksfess mamikos aja, gw kl lg mau ngekos asti cari2 di situ",worksfess mamikos aja gw kl lg ngekos asti situ,worksfess mamikos aja gw kl lg ngekos asti situ,0.0,netral
90,@worksfess liat mamikos aja nder,worksfess liat mamikos aja nder,worksfess just look at mamikos nder,0.0,netral
91,"@imbarbieyy @worksfess dulu nemu di mamikos , tapi yg di mamikos yg dipasang kamar ac yg 2jt tapi pas aku liat kesa… https://t.co/72utiyz0vq",imbarbieyy worksfess nemu mamikos yg mamikos yg dipasang kamar ac yg pas liat ,imbarbieyy worksfess found a mamikos who had an air conditioner installed in an ac room that was right to see,0.2857142857142857,positif
92,@sbyfess coba cek mamikos nder bisa di filter cari kos harian, coba cek mamikos nder filter cari kos harian,try checking mamikos under filter look for daily cost,0.0,netral
93,@awyriuddanie cari web mamikos aja kak,awyriuddanie cari web mamikos aja kak,awyriuddanie cari web mamikos aja kak,0.0,netral
94,"haloo ges, rekomendasi hari ini adalah apartemen vivo seturan apartment - b9 u8 yogyakarta

apartemennya sudah isia… https://t.co/dojwotb8cr",haloo ges rekomendasi apaemen vivo seturan apament yogyakaa apaemennya ,haloo ges recommendation apaemen vivo seturan apament yogyakaa apaemennya,0.0,netral
95,"haloo ges, rekomendasi kosan hari ini adalah  kos parman minara bandara soekarno hatta taman mahkota benda tangeran… https://t.co/lpilnk1nts",haloo ges rekomendasi kosan kos parman minara bandara soekarno hatta taman mahkota benda ,"Hello ges, recommendations for boarding houses, Parman Minara, Soekarno-Hatta Airport, Taman Mahkota Benda",0.0,netral
96,@sbyfess cari di mamikos coba, cari mamikos coba,try mamikos,0.0,netral
97,@worksfess coba pake apps mamikos,worksfess coba pake apps mamikos,worksfess try using mamikos apps,0.0,netral
98,"rt @mamikosapp: siap sedia kapanpun buatmu, lebih dari pacar! customer service mamikos kini hadir selama 24 jam. jadi buatmu yang mau nanya…", mamikosapp sedia buatmu pacar customer service mamikos hadir jam buatmu,"mamikosapp is ready for you, mamikos customer service girlfriend is here for you",0.2,positif
99,"siap sedia kapanpun buatmu, lebih dari pacar! customer service mamikos kini hadir selama 24 jam. jadi buatmu yang m… https://t.co/zgiz0ficyo",sedia buatmu pacar customer service mamikos hadir jam buatmu ,"ready for you, mamikos customer service girlfriend is here for you",0.2,positif
100,"- kakak-kakak, boleh kasih referensi kos (kos cewek/campur), harganya yg ga terlalu pricey tp worth it dong:(( aku… https://t.co/nd0vilu1tv",kasih referensi kos kos harganya yg ga pricey tp woh it ,"give a reference for the cost of the cost, the price is not pricey, but wow",0.1,positif
101,@stanmenfess cek mamikos difilter terus cari yg daerah ceger/sektor 5/pondok aren, cek mamikos difilter cari yg daerah aren,"check mamikos, filtered, look for the ones in the sugar palm area",0.0,netral
102,"@ngangaa_ enak kputih se apa"" ada dan dket, coba pke mamikos",kputih dket coba pke mamikos,kputih dket try using mamikos,0.0,netral
103,@schfess info kosan https://t.co/co67herdef, info kosan ,boarding information,0.0,netral
104,"@schfess nder ayo buka website mamikos, abis itu pesen kamar trs kemasi barang barangmu", nder ayo buka website mamikos abis pesen kamar trs kemasi barang barangmu,"nder, let's open the mamikos website, after ordering a room, then pack your things",0.0,netral
105,"@injuniezz tergantung setauku, ada kosan yang nyediain ada yang engga, sesuai budget sih, coba deh cari info di mam… https://t.co/dtqmjkfdpq",injuniezz tergantung setauku kosan nyediain engga sesuai budget sih coba deh cari info ,"injuniezz, depending on what I know, the boarding house does not match the budget, but try to find info",0.0,netral
106,"yukk, jangan kendor untuk menggunakan masker dan menerapkan protikol kesehatan saat keluar rumah. jangan lupa kalau… https://t.co/ehnwzbdlv7",yukk kendor masker menerapkan protikol kesehatan rumah lupa ,"let's loosen the mask, apply the home health protocol, forget it",0.0,netral
107,@singgahsini_idn kaget ternotice mamikos 🤣💖 kebetulan mas izaldi dkk kos singgahsini bagian jogja nih miiii🙈,kaget ternotice mamikos mas izaldi dkk kos singgahsini jogja nih,surprised ternotice mamikos mas izaldi dkk kos singgahsini jogja nih,0.1,positif
108,@telyufess coba cek di https://t.co/zgyysomjlc,telyufess coba cek ,telyufess check it out,0.0,netral
109,"@ugm_fess sesuain sama kebutuhan dan budgetmu juga nder. so far, mamikos ngebantu bgt. atau lihat di grup fb ttg in… https://t.co/kpbt8agvnl",sesuain kebutuhan budgetmu nder so far mamikos ngebantu bgt grup fb ttg ,"according to your budget needs, so far mamikos really helps the fb group about",0.15000000000000002,positif
110,rt @lip6tekno: mamikos dan sicepat andalkan analitik aws untuk dongkrak bisnis https://t.co/d9mkadoq8j, mamikos sicepat andalkan analitik aws dongkrak bisnis ,mamikos sicepat relies on aws analytics to boost business,0.0,netral
111,mamikos dan sicepat andalkan analitik aws untuk dongkrak bisnis https://t.co/d9mkadoq8j,mamikos sicepat andalkan analitik aws dongkrak bisnis ,mamikos sicepat relies on aws analytics to boost business,0.0,netral
112,@sbyfess coba mamikos, coba mamikos,try mamikos,0.0,netral
113,"@lthfnd ada kos murah daerah jakbar, cek aja di mamikos kost griya nini",lthfnd kos murah daerah jakbar cek aja mamikos kost griya nini,"lthfnd cheap boarding house in jakarta area, just check mamikos boarding house nini",0.4,positif
114,gua liat di mamikos kosan di tembalang mahal bgt anjir mana kebanyakan blom sm listrik,gua liat mamikos kosan tembalang mahal bgt anjir kebanyakan blom sm listrik,"I see the Tembalang boarding house is very expensive, most of them don't have electricity",-0.07500000000000001,negatif
115,"@xxeurekaa @aarthasy @mantanmoo_ @jayasbel nemu di mamikos sihh trs ini chatan sama ibu kosnya. masih ada 10 kamar,… https://t.co/1le77y0oyi",xxeurekaa aahasy jayasbel nemu mamikos sihh trs chatan kosnya kamar ,xxeurekaa aahasy jayasbel found mamikos sihh trs chatan kosnya room,0.0,netral
116,"@txtdarikostan mau nambah laptop aja harus bilang :,) padahal lingkungannya nyaman, tapi memang ibu kosnya aja nyeb… https://t.co/lyo179vnxz",txtdarikostan nambah laptop aja bilang lingkungannya nyaman kosnya aja ,"txtdarikostan just add a laptop and say the environment is comfortable, the boarding is just fine",0.4083333333333333,positif
117,@mks_fess cek di aplikasi mamikost,cek aplikasi mamikost,check mamikost app,0.0,netral
118,kerjaan gue skgr liat2 kostan di mamikost,kerjaan gue skgr kostan mamikost,my job right now is boarding house mamikost,0.2857142857142857,positif
119,@bertanyarl cari di mamikost nder.,beanyarl cari mamikost nder,beanyarl cari mamikost nder,0.0,netral
120,"@sbyfess mamikost 
lak butuh info kost cewek dekat unair kampus c atau daerah unesa ketintang dm ae nder", mamikost lak butuh info kost cewek unair kampus daerah unesa ketintang dm ae nder,"mamikost lak need info on girls boarding house at Unair campus area, dm ae nder",0.0,netral
121,"@jogmfs buka mamikost, filter area dan opsi campur, taraaa km mendapatkannya", buka mamikost filter area opsi campur taraaa km mendapatkannya,"open mamikost filter, mix options area, you got it",0.0,netral
122,@enzaaofc_ jakselnya dmn kak? mamikost coba ada bbrp tempat,jakselnya dmn kak mamikost coba bbrp,"Where is the jaksel, sis mamikost, have you tried several?",0.0,netral
123,"mamikost kepake setelah gw delete appnya, tiba tiba mesti make lagi download lagi as always gitu",mamikost kepake gw delete appnya mesti make download as always gitu,"I use mamikost to delete the app, you have to make it download as always",0.0,netral
124,@detatika eh ini yg dipake di mamikost bukan sih det?,detatika eh yg dipake mamikost sih det,"Dettika, eh, what mamikost is wearing, det",0.0,netral
125,@askrlfess cari di mamikost,askrlfess cari mamikost,askrlfess looking for mamikost,0.0,netral
126,oke 2 jam buka mami kos doang,oke jam buka mami kos doang,okay mommy's opening hours are only boarding,0.25,positif
